ranker,player,,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
58,Michael Cage,Michael Cage,C,31,SEA,SEA,82,2156,13.2,.527,.002,.313,14.3,21.6,17.9,4.1,1.8,1.4,11.1,10.4,,2.9,3.3,6.2,.137,,0.5,-0.2,0.4,1.3
59,Dexter Cambridge,Dexter Cambridge,SF,23,DAL,DAL,53,885,12.1,.520,.013,.317,9.9,10.6,10.2,10.4,1.3,0.4,15.1,19.3,,0.4,0.0,0.4,.022,,-1.6,-2.4,-4.0,-0.5
60,Elden Campbell,Elden Campbell,PF,24,LAL,LAL,79,1551,14.2,.497,.006,.392,9.2,15.2,12.2,4.5,1.9,4.0,10.2,18.7,,0.8,1.9,2.6,.082,,-1.7,0.1,-1.5,0.2
61,Tony Campbell,Tony Campbell,SF,30,NYK,NYK,58,1062,11.6,.517,.013,.220,6.4,9.8,8.1,9.4,1.6,0.3,10.5,19.8,,0.7,1.9,2.5,.115,,-2.3,0.9,-1.4,0.2
62,Antoine Carr,Antoine Carr,PF,31,SAS,SAS,71,1947,16.1,.580,.007,.318,6.6,15.8,11.4,7.8,0.9,2.8,10.7,20.3,,3.2,2.3,5.5,.136,,-0.1,0.6,0.5,1.2
63,Bill Cartwright,Bill Cartwright,C,35,CHI,CHI,63,1253,8.3,.458,.000,.286,7.4,14.3,10.7,8.7,0.8,0.5,13.8,15.5,,0.1,1.1,1.2,.048,,-3.8,-1.1,-4.9,-0.9
64,Terry Catledge,Terry Catledge,PF,29,ORL,ORL,21,262,8.5,.563,.000,.466,8.3,11.4,9.9,2.8,0.8,0.2,22.1,18.6,,-0.1,0.2,0.1,.027,,-3.5,-1.5,-5.0,-0.2
65,Duane Causwell,Duane Causwell,C,24,SAC,SAC,55,1211,14.2,.575,.003,.514,9.9,18.2,13.9,4.1,1.3,4.5,12.8,15.2,,1.5,1.4,2.9,.115,,-1.6,0.9,-0.7,0.4
66,Cedric Ceballos,Cedric Ceballos,SF,23,PHO,PHO,74,1607,21.0,.612,.003,.390,12.2,16.0,14.1,7.4,1.6,1.0,12.0,22.6,,4.3,1.9,6.2,.186,,3.2,-0.8,2.4,1.8
67,Tom Chambers,Tom Chambers,PF,33,PHO,PHO,73,1723,14.7,.529,.039,.402,6.4,15.7,11.2,8.4,1.2,0.8,9.8,22.4,,2.6,1.8,4.5,.124,,-1.1,-0.9,-2.1,0.0
68,Rex Chapman,Rex Chapman,SG,25,WSB,WSB,60,1300,15.1,.556,.193,.271,1.6,6.1,3.8,14.6,1.4,0.5,10.5,24.6,,1.5,0.4,1.9,.070,,0.5,-1.5,-1.0,0.3
69,Maurice Cheeks*,Maurice Cheeks,PG,36,NJN,NJN,35,510,13.9,.601,.022,.290,1.1,8.0,4.5,28.9,3.2,0.2,23.9,11.3,,0.6,0.7,1.3,.127,,-1.2,2.2,1.0,0.4
70,Pete Chilcutt,Pete Chilcutt,PF,24,SAC,SAC,59,834,13.4,.502,.000,.135,10.3,15.8,12.9,11.8,1.3,1.6,13.0,20.2,,0.3,0.7,1.0,.055,,-1.4,-1.0,-2.4,-0.1
71,Doug Christie,Doug Christie,SG,22,LAL,LAL,23,332,12.4,.526,.113,.623,8.2,9.4,8.8,22.8,3.3,0.9,27.0,23.8,,-0.3,0.4,0.1,.012,,-2.7,0.2,-2.5,0.0
72,Derrick Coleman,Derrick Coleman,PF,25,NJN,NJN,76,2759,21.2,.540,.081,.425,9.7,24.0,16.9,16.1,1.7,2.9,14.3,25.8,,4.4,5.1,9.5,.165,,2.7,1.5,4.3,4.4
73,Bimbo Coles,Bimbo Coles,PG,24,MIA,MIA,81,2232,14.7,.546,.200,.321,2.9,5.7,4.3,26.1,1.8,0.3,12.1,17.3,,4.3,1.4,5.7,.122,,0.8,-0.3,0.5,1.4
74,Marty Conlon,Marty Conlon,C,25,SAC,SAC,46,467,15.9,.530,.023,.474,11.0,18.6,14.6,11.7,1.3,0.7,11.9,20.5,,0.6,0.4,1.0,.105,,0.0,-1.3,-1.2,0.1
75,Lester Conner,Lester Conner,PG,33,LAC,LAC,31,422,11.3,.526,.000,.306,4.1,8.8,6.4,18.6,3.9,0.6,23.0,8.9,,0.3,0.6,0.8,.096,,-2.1,3.4,1.3,0.3
76,Duane Cooper,Duane Cooper,PG,23,LAL,LAL,65,645,7.6,.450,.190,.222,2.3,6.6,4.4,31.5,1.4,0.2,28.5,16.1,,-0.7,0.3,-0.4,-0.031,,-3.7,-2.1,-5.8,-0.6
77,Tyrone Corbin,Tyrone Corbin,SF,30,UTA,UTA,82,2555,14.4,.551,.007,.285,8.9,14.0,11.6,9.8,2.1,0.8,11.1,16.3,,3.8,3.0,6.7,.126,,0.1,0.5,0.6,1.7
78,Chris Corchiani,Chris Corchiani,PG,24,TOT,10,105,14.8,.662,.125,.875,1.1,6.1,3.8,22.0,2.8,0.0,19.4,16.9,,0.2,0.1,0.3,.159,,-1.2,2.3,1.1,0.1
79,Joe Courtney,Joe Courtney,PF,23,TOT,12,104,8.8,.459,.000,.281,4.3,16.1,10.2,3.9,2.4,3.0,14.3,16.8,,-0.1,0.1,0.1,.032,,-5.7,0.5,-5.2,-0.1
80,John Crotty,John Crotty,PG,23,UTA,UTA,40,243,13.2,.575,.194,.528,1.9,5.9,4.0,32.7,2.3,0.0,25.3,21.0,,0.1,0.2,0.3,.057,,-1.2,-1.0,-2.2,0.0
81,Terry Cummings,Terry Cummings,PF,31,SAS,SAS,8,76,7.9,.404,.000,.345,9.5,18.7,14.3,7.6,0.7,0.8,5.6,20.5,,0.0,0.1,0.0,.023,,-4.8,-1.3,-6.1,-0.1
82,Radisav Ćurčić,Radisav Ćurčić,C,27,DAL,DAL,20,166,13.5,.510,.000,.878,10.2,22.9,16.0,10.2,2.0,0.8,12.3,15.9,,0.2,0.1,0.3,.086,,-2.2,-0.3,-2.6,0.0
83,Dell Curry,Dell Curry,SG,28,CHH,CHH,80,2094,16.0,.524,.215,.142,2.8,11.5,7.3,13.2,2.0,0.6,9.9,25.6,,1.7,1.7,3.4,.077,,1.1,-0.8,0.3,1.2
84,Lloyd Daniels,Lloyd Daniels,SG,25,SAS,SAS,77,1573,12.9,.510,.275,.154,6.6,9.1,7.9,14.4,1.2,1.2,12.9,22.1,,0.5,1.3,1.8,.056,,0.0,-0.9,-0.9,0.4
85,Brad Daugherty,Brad Daugherty,C,27,CLE,CLE,71,2691,22.0,.635,.002,.540,7.3,22.9,15.5,17.3,1.0,1.3,11.7,21.1,,8.8,3.9,12.7,.226,,4.0,0.9,4.9,4.7
86,Dale Davis,Dale Davis,PF,23,IND,IND,82,2264,16.3,.573,.000,.421,14.2,20.7,17.5,4.2,1.4,4.1,11.1,13.3,,4.0,2.9,6.9,.146,,0.7,0.3,1.0,1.7
87,Hubert Davis,Hubert Davis,SG,22,NYK,NYK,50,815,8.7,.490,.076,.215,1.8,5.7,3.8,15.2,1.4,0.3,14.1,17.0,,0.0,1.2,1.2,.072,,-3.2,0.8,-2.4,-0.1
88,Terry Davis,Terry Davis,PF,25,DAL,DAL,75,2462,11.7,.484,.009,.326,10.4,21.3,15.4,4.3,0.7,0.7,14.0,19.0,,-0.6,0.5,-0.1,-0.002,,-1.8,-3.0,-4.8,-1.7
89,Johnny Dawkins,Johnny Dawkins,PG,29,PHI,PHI,74,1598,14.6,.502,.142,.241,2.2,7.0,4.6,32.8,2.4,0.1,15.6,20.5,,0.8,0.9,1.7,.052,,-0.3,-0.8,-1.2,0.4
90,Todd Day,Todd Day,SG,23,MIL,MIL,71,1931,14.5,.513,.222,.359,8.5,8.9,8.7,9.4,1.9,1.6,11.0,23.9,,1.5,1.1,2.6,.065,,-0.1,-1.5,-1.6,0.2
